Date,Area,Duration,Visitors,Holiday
01/07/2019,Piazza Puntoni (Via Zamboni),50.0,199,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),1.0,6236,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),210.0,13,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),30.0,246,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),3.0,2920,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),300.0,34,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),210.0,32,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),75.0,185,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),15.0,833,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),360.0,43,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),105.0,28,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),75.0,46,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),15.0,314,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),1.0,10268,False
01/07/2019,Facoltà Di Giurisprudenza,360.0,0,False
01/07/2019,Facoltà Di Giurisprudenza,300.0,4,False
01/07/2019,Facoltà Di Giurisprudenza,15.0,326,False
01/07/2019,Piazza Verdi,360.0,28,False
01/07/2019,Piazza Verdi,300.0,20,False
01/07/2019,Piazza Verdi,210.0,37,False
01/07/2019,Piazza Verdi,75.0,209,False
01/07/2019,Piazza Verdi,30.0,973,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),30.0,737,False
01/07/2019,Piazza Verdi,7.5,1117,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),50.0,267,False
01/07/2019,Porta San Donato,1.0,10262,False
01/07/2019,Piazza Scaravilli,360.0,5,False
01/07/2019,Piazza Scaravilli,300.0,1,False
01/07/2019,Piazza Scaravilli,150.0,11,False
01/07/2019,Piazza Scaravilli,75.0,27,False
01/07/2019,Piazza Scaravilli,50.0,74,False
01/07/2019,Piazza Scaravilli,30.0,264,False
01/07/2019,Piazza Scaravilli,15.0,381,False
01/07/2019,Piazza Scaravilli,7.5,568,False
01/07/2019,Piazza Scaravilli,1.0,4763,False
01/07/2019,Via San Giacomo,360.0,3,False
01/07/2019,Via San Giacomo,300.0,6,False
01/07/2019,Via San Giacomo,75.0,79,False
01/07/2019,Via San Giacomo,30.0,367,False
01/07/2019,Via San Giacomo,3.0,3682,False
01/07/2019,Via San Giacomo,1.0,7418,False
01/07/2019,Piazza Puntoni (Via Zamboni),360.0,49,False
01/07/2019,Piazza Puntoni (Via Zamboni),150.0,61,False
01/07/2019,Facoltà Di Giurisprudenza,75.0,18,False
01/07/2019,Piazza Puntoni (Via Zamboni),3.0,2376,False
01/07/2019,Porta San Donato,300.0,99,False
01/07/2019,Porta San Donato,3.0,8791,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),105.0,86,False
01/07/2019,Piazza Verdi,3.0,4380,False
01/07/2019,Via Del Guasto,150.0,0,False
01/07/2019,Via Del Guasto,7.5,0,False
01/07/2019,Piazza Puntoni (Via Zamboni),105.0,54,False
01/07/2019,Piazza Puntoni (Via Zamboni),210.0,39,False
01/07/2019,Via San Giacomo,7.5,824,False
01/07/2019,Via San Giacomo,210.0,11,False
01/07/2019,Piazza Scaravilli,105.0,12,False
01/07/2019,Palazzo Poggi,30.0,243,False
01/07/2019,Palazzo Poggi,210.0,2,False
01/07/2019,Palazzo Poggi,360.0,0,False
01/07/2019,Via Del Guasto,3.0,0,False
01/07/2019,Via Del Guasto,15.0,0,False
01/07/2019,Via Del Guasto,30.0,0,False
01/07/2019,Via Del Guasto,210.0,0,False
01/07/2019,Via Del Guasto,360.0,0,False
01/07/2019,Piazza Verdi,1.0,8186,False
01/07/2019,Piazza Verdi,15.0,970,False
01/07/2019,Piazza Verdi,105.0,97,False
01/07/2019,Piazza Verdi,150.0,73,False
01/07/2019,Facoltà Di Giurisprudenza,1.0,8885,False
01/07/2019,Facoltà Di Giurisprudenza,3.0,3105,False
01/07/2019,Facoltà Di Giurisprudenza,30.0,200,False
01/07/2019,Facoltà Di Giurisprudenza,50.0,34,False
01/07/2019,Piazza Puntoni (Via Zamboni),75.0,114,False
01/07/2019,Piazza Puntoni (Via Zamboni),30.0,626,False
01/07/2019,Piazza Puntoni (Via Zamboni),7.5,574,False
01/07/2019,Porta San Donato,210.0,70,False
01/07/2019,Via Del Guasto,1.0,0,False
01/07/2019,Palazzo Poggi,300.0,1,False
01/07/2019,Palazzo Poggi,105.0,13,False
01/07/2019,Palazzo Poggi,7.5,465,False
01/07/2019,Piazza Scaravilli,210.0,4,False
01/07/2019,Piazza Scaravilli,3.0,2201,False
01/07/2019,Via San Giacomo,150.0,18,False
01/07/2019,Via San Giacomo,105.0,32,False
01/07/2019,Via San Giacomo,50.0,119,False
01/07/2019,Via San Giacomo,15.0,571,False
01/07/2019,Palazzo Poggi,1.0,5169,False
01/07/2019,Piazza Puntoni (Via Zamboni),300.0,25,False
01/07/2019,Piazza Puntoni (Via Zamboni),1.0,4289,False
01/07/2019,Porta San Donato,360.0,94,False
01/07/2019,Porta San Donato,105.0,151,False
01/07/2019,Porta San Donato,50.0,372,False
01/07/2019,Porta San Donato,30.0,1144,False
01/07/2019,Porta San Donato,15.0,1135,False
01/07/2019,Facoltà Di Giurisprudenza,210.0,4,False
01/07/2019,Porta San Donato,7.5,1170,False
01/07/2019,Porta San Donato,75.0,238,False
01/07/2019,Porta San Donato,150.0,134,False
01/07/2019,Piazza Puntoni (Via Zamboni),15.0,599,False
01/07/2019,Palazzo Poggi,3.0,2088,False
01/07/2019,Facoltà Di Giurisprudenza,150.0,4,False
01/07/2019,Palazzo Poggi,50.0,77,False
01/07/2019,Palazzo Poggi,15.0,344,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),360.0,88,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),150.0,77,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,3694,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,9,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),150.0,22,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,67,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),7.5,487,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),7.5,940,False
01/07/2019,Facoltà Di Giurisprudenza,7.5,401,False
01/07/2019,Piazza Verdi,50.0,329,False
01/07/2019,Via Del Guasto,300.0,0,False
01/07/2019,Via Del Guasto,105.0,0,False
01/07/2019,Via Del Guasto,75.0,0,False
01/07/2019,Via Del Guasto,50.0,0,False
01/07/2019,Palazzo Poggi,150.0,4,False
01/07/2019,Facoltà Di Giurisprudenza,105.0,3,False
01/07/2019,Palazzo Poggi,75.0,42,False
02/07/2019,Facoltà Di Giurisprudenza,7.5,466,False
02/07/2019,Facoltà Di Giurisprudenza,105.0,2,False
02/07/2019,Facoltà Di Giurisprudenza,300.0,4,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),1.0,12389,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),3.0,3550,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,4071,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),75.0,44,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),360.0,40,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),15.0,913,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),210.0,39,False
02/07/2019,Facoltà Di Giurisprudenza,1.0,10586,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,67,False
